City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
503,Jaguaribe,BR,92.01,scattered clouds,-5.8906,-38.6219,Hotel Pinheiro
504,Ferme-Neuve,CA,74.75,clear sky,46.7001,-75.4493,Pourvoirie Club Fontbrune Ltee
505,Piacabucu,BR,79.41,few clouds,-10.4056,-36.4344,Piaçabuçu News
506,San Andres,CO,86.02,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
509,Manicore,BR,87.75,few clouds,-5.8092,-61.3003,Hotel Durval
511,Auki,SB,78.91,broken clouds,-8.7676,160.7034,Auki Motel
512,Bandarbeyla,SO,77.79,overcast clouds,9.4942,50.8122,JABIR HOTEL
516,Taclobo,PH,84.29,overcast clouds,12.3074,122.586,Seabreeze Inn
519,San Policarpo,PH,82.99,overcast clouds,12.1791,125.5072,Agapita M. Nicart
522,Progreso,MX,89.11,few clouds,21.2833,-89.6667,Playa Linda Hotel
523,Maneadero,MX,72.1,clear sky,31.7167,-116.5667,Casa De Thompson
524,Kuala Kedah,MY,80.58,few clouds,6.1,100.3,Artini Homestay
525,Padre Bernardo,BR,88.16,broken clouds,-15.35,-48.5,
526,Wadi Musa,JO,74.71,clear sky,30.3222,35.4793,Petra Palace Hotel
527,Tadepallegudem,IN,83.46,overcast clouds,16.8333,81.5,Hotel Selection Grand
528,Pilar,BR,75.13,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
530,Kovdor,RU,78.21,few clouds,67.5662,30.4758,Derevo Zhelaniy
531,Marathon,US,76.24,clear sky,44.9,-89.7668,
532,Dossor,KZ,73.56,light rain,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
533,Paracuru,BR,82.11,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
538,Shingu,JP,75.24,light rain,33.7333,135.9833,Shingu UI Hotel
539,Ananindeua,BR,89.51,broken clouds,-1.3656,-48.3722,Casa de Retiro Preciosinas
542,Aljezur,PT,72.99,scattered clouds,37.3191,-8.8033,Amazigh Hostel
543,Loralai,PK,85.51,few clouds,30.3705,68.598,Saddam Hotel & Resturant
544,Mbandaka,CD,74.46,broken clouds,0.0487,18.2603,Guest House Epervier
545,Hamilton,US,85.64,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
546,Mangrol,IN,83.08,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
548,Gilgit,PK,92.62,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
549,Robertsport,LR,78.31,light rain,6.7533,-11.3686,Kwepunha Retreat
551,Namatanai,PG,79.03,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
552,Abong Mbang,CM,74.97,overcast clouds,3.9833,13.1833,Auberge Angle Sur
553,Zehdenick,DE,78.91,clear sky,52.9785,13.3317,Grundmann Pension Lindenhof
554,Barcelona,ES,87.8,clear sky,41.3888,2.159,Axel Hotel Barcelona
556,Cape Coast,GH,78.35,broken clouds,5.1053,-1.2466,Samrit Hotel
557,Lazaro Cardenas,MX,86.5,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
558,Cedar City,US,82.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
560,Agua Prieta,MX,78.37,broken clouds,31.3,-109.5667,Hotel Real de Agua Prieta
561,Moissala,TD,72.14,overcast clouds,8.3404,17.7663,
563,Puerto Carreno,CO,86.9,broken clouds,6.189,-67.4859,Casa Hotel Victoria
565,Svoge,BG,82.27,light rain,42.9667,23.35,Маймун Дере
