City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
212,Kokopo,PG,2022-06-28 00:04:20,-4.352,152.2633,83.12,61,99,2.28
213,Severnyy,RU,2022-06-28 00:04:20,50.677,36.5532,69.84,68,0,2.24
214,Staraya Russa,RU,2022-06-28 00:04:21,57.9944,31.3608,65.57,64,27,2.98
215,Santa Eulalia,PE,2022-06-28 00:04:21,-11.85,-76.6833,53.35,53,55,1.61
216,Baruun-Urt,MN,2022-06-28 00:04:21,46.6806,113.2792,70.14,51,96,3.98
217,Coxim,BR,2022-06-28 00:04:22,-18.5067,-54.76,70.43,45,4,0.81
218,Nuuk,GL,2022-06-28 00:04:22,64.1835,-51.7216,50.61,57,75,14.97
219,Berezanskaya,RU,2022-06-28 00:04:22,45.7056,39.5932,66.38,71,100,9.86
220,Gimli,CA,2022-06-28 00:04:23,50.6336,-96.9907,61.45,89,97,10.16
221,Agua Dulce,MX,2022-06-28 00:04:23,18.1333,-94.1333,78.58,81,60,13.13
222,Grindavik,IS,2022-06-28 00:04:23,63.8424,-22.4338,48.67,87,75,11.5
223,Svarstad,NO,2022-06-28 00:04:25,59.399,9.9698,64.36,46,100,1.99
224,East London,ZA,2022-06-28 00:04:25,-33.0153,27.9116,57.56,49,0,7.09
225,Naze,JP,2022-06-28 00:03:51,28.3667,129.4833,79.27,85,99,11.25
226,Mandawar,IN,2022-06-28 00:04:26,29.5,78.1333,89.76,49,59,10.07
227,Bang Saphan,TH,2022-06-28 00:04:26,11.2126,99.5117,78.44,90,88,3.4
228,Puerto Narino,CO,2022-06-28 00:04:26,-3.7703,-70.3831,72.41,97,38,3.02
229,Saldanha,ZA,2022-06-28 00:04:27,-33.0117,17.9442,60.91,59,0,9.98
230,Lufkin,US,2022-06-28 00:04:27,31.3382,-94.7291,89.51,57,0,9.22
231,Amlame,TG,2022-06-28 00:04:27,7.4667,0.9,72.23,97,85,2.35
232,Beira,MZ,2022-06-28 00:04:28,-19.8436,34.8389,65.37,84,20,12.57
233,Kruisfontein,ZA,2022-06-28 00:04:28,-34.0033,24.7314,54.91,45,5,7.36
234,Saskylakh,RU,2022-06-28 00:04:28,71.9167,114.0833,43.79,60,40,9.33
235,Mackay,AU,2022-06-27 23:59:45,-21.15,149.2,68.68,61,27,15.99
236,Malanje,AO,2022-06-28 00:04:29,-9.5402,16.341,58.62,48,14,4.72
237,Murgab,TM,2022-06-28 00:04:29,37.4966,61.9714,88.56,15,0,10.16
238,Belaya Gora,RU,2022-06-28 00:04:29,68.5333,146.4167,42.87,73,100,7.61
239,Cabo San Lucas,MX,2022-06-28 00:01:48,22.8909,-109.9124,92.61,67,59,8.99
240,Bairnsdale,AU,2022-06-28 00:04:30,-37.8333,147.6167,46.06,88,99,3.04
241,West Wendover,US,2022-06-28 00:04:30,40.7391,-114.0733,96.01,9,0,8.05
242,Sao Filipe,CV,2022-06-28 00:04:30,14.8961,-24.4956,73.53,84,26,5.06
243,Huron,US,2022-06-28 00:04:31,41.1501,-82.5499,72.86,66,24,8.14
244,Luleburgaz,TR,2022-06-28 00:04:31,41.4039,27.3592,69.37,73,95,6.67
245,Lewistown,US,2022-06-28 00:04:31,40.5992,-77.5714,74.61,38,0,6.91
246,San Patricio,US,2022-06-28 00:04:32,28.017,-97.5169,94.06,49,52,9.53
247,Visaginas,LT,2022-06-28 00:04:32,55.6,26.4167,67.26,83,96,2.01
248,Dubti,ET,2022-06-28 00:04:32,11.7361,41.0853,91.18,35,56,5.57
249,Necochea,AR,2022-06-28 00:04:33,-38.5473,-58.7368,48.18,67,0,10.51
250,Lodja,CD,2022-06-28 00:04:33,-3.4833,23.4333,70.81,49,16,2.28
251,Ankang,CN,2022-06-28 00:04:33,32.68,109.0172,80.11,68,17,1.19
252,Arbagar,RU,2022-06-28 00:04:34,51.9438,116.2805,74.97,45,7,3.2
253,Kyra,RU,2022-06-28 00:04:34,49.5776,111.9753,70.86,55,0,3.58
254,Tiksi,RU,2022-06-28 00:04:35,71.6872,128.8694,34.99,76,100,5.82
255,Dukhovnitskoye,RU,2022-06-28 00:04:35,52.4828,48.2137,64.09,89,67,8.14
256,Westport,US,2022-06-28 00:04:35,41.1415,-73.3579,75.11,95,75,1.99
257,Cayenne,GF,2022-06-28 00:00:06,4.9333,-52.3333,77.09,1,99,3.44
258,Male,MV,2022-06-28 00:04:36,4.1748,73.5089,83.12,74,67,14.61
259,Madhoganj,IN,2022-06-28 00:04:36,27.1167,80.15,90.66,52,90,5.06
260,Nola,IT,2022-06-28 00:04:36,40.922,14.5329,84.63,53,11,3.6
261,Santa Ines,BR,2022-06-28 00:04:37,-3.6667,-45.38,75.6,72,71,0.96
262,Cuiluan,CN,2022-06-28 00:04:37,47.72,128.648,74.75,70,100,7.85
263,Pacific Grove,US,2022-06-28 00:03:05,36.6177,-121.9166,82.24,78,0,8.01
264,Mapiripan,CO,2022-06-28 00:04:37,2.8892,-72.1256,76.3,75,44,1.63
265,Vista Hermosa,MX,2022-06-28 00:04:38,19.5167,-99.2167,67.39,56,100,16.11
266,Caravelas,BR,2022-06-28 00:04:38,-17.7125,-39.2481,67.64,74,9,8.79
267,Faanui,PF,2022-06-28 00:04:38,-16.4833,-151.75,80.06,74,7,18.45
268,Aswan,EG,2022-06-28 00:04:39,24.0934,32.907,88.09,21,3,12.28
269,Coari,BR,2022-06-28 00:04:39,-4.085,-63.1414,74.52,93,70,3.51
270,Hambantota,LK,2022-06-28 00:04:40,6.1241,81.1185,78.93,81,86,17.47
